HarvestYear,ID2,SampleId,Crop,Crop_qcApplied,Crop_qcResult,Crop_qcPhrase,BiomassDry,BiomassDry_qcApplied,BiomassDry_qcResult,BiomassDry_qcPhrase,GrainMassDry,GrainMassDry_qcApplied,GrainMassDry_qcResult,GrainMassDry_qcPhrase,CropExists,CropExists_qcApplied,CropExists_qcResult,CropExists_qcPhrase,Comments,Graind13C,Graind13C_qcPhrase,Graind13C_qcApplied,Graind13C_qcResult,GrainNitrogen,GrainNitrogen_qcPhrase,GrainNitrogen_qcApplied,GrainNitrogen_qcResult,GrainCarbon,GrainCarbon_qcPhrase,GrainCarbon_qcApplied,GrainCarbon_qcResult,Residued13C,Residued13C_qcPhrase,Residued13C_qcApplied,Residued13C_qcResult,ResidueNitrogen,ResidueNitrogen_qcPhrase,ResidueNitrogen_qcApplied,ResidueNitrogen_qcResult,ResidueCarbon,ResidueCarbon_qcPhrase,ResidueCarbon_qcApplied,ResidueCarbon_qcResult,GrainProtein,GrainProtein_qcApplied,GrainProtein_qcResult,GrainProtein_qcPhrase,GrainMoisture,GrainMoisture_qcApplied,GrainMoisture_qcResult,GrainMoisture_qcPhrase,GrainStarch,GrainStarch_qcApplied,GrainStarch_qcResult,GrainStarch_qcPhrase,GrainGluten,GrainGluten_qcApplied,GrainGluten_qcResult,GrainGluten_qcPhrase,GrainMass0,GrainMass0_qcApplied,GrainMass0_qcResult,GrainMass0_qcPhrase,GrainMass125,GrainMass125_qcApplied,GrainMass125_qcResult,GrainMass125_qcPhrase,BiomassDryPerArea,BiomassDryPerArea_qcApplied,BiomassDryPerArea_qcResult,BiomassDryPerArea_qcPhrase,GrainYieldDryPerArea,GrainYieldDryPerArea_qcApplied,GrainYieldDryPerArea_qcResult,GrainYieldDryPerArea_qcPhrase,GrainMass0PerArea,GrainMass0PerArea_qcApplied,GrainMass0PerArea_qcResult,GrainMass0PerArea_qcPhrase,GrainMass125PerArea,GrainMass125PerArea_qcApplied,GrainMass125PerArea_qcResult,GrainMass125PerArea_qcPhrase,HarvestIndex,HarvestIndex_qcApplied,HarvestIndex_qcResult,HarvestIndex_qcPhrase
2018,1,CE1_Bio_GB_2018_5-A,GB,000001,000000,,788.4,000001,000000,,377.53333333333336,000001,000000,,1.0,000001,000000,,,-23.394333700000004,,000001,000000,4.322722667792317,,000001,000000,44.515677501055286,,000001,000000,-26.499311600000002,,000001,000000,0.5079604449938195,,000001,000000,46.72770086526577,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,323.3267716535433,000001,000000,,154.828302712161,000001,000000,,,000001,000000,,,000001,000000,,0.47886013867749033,000001,000000,
2018,2,CE2_Bio_GB_2018_6-A,GB,000001,000000,,1044.4,000001,000000,,877.5333333333333,000001,000000,,1.0,000001,000000,,,-23.472408500000007,,000001,000000,4.61454619787408,,000001,000000,44.597775960752244,,000001,000000,-26.8275676,,000001,000000,0.7731953801732436,,000001,000000,45.68742781520694,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,428.3136482939633,000001,000000,,359.88079615048116,000001,000000,,,000001,000000,,,000001,000000,,0.8402272437124982,000001,000000,
2018,3,CE3_Bio_GB_2018_7-A,GB,000001,000000,,1172.4,000001,000000,,549.5333333333333,000001,000000,,1.0,000001,000000,,,-23.4272073,,000001,000000,4.487596646483465,,000001,000000,44.15085235211924,,000001,000000,-26.130747399999997,,000001,000000,0.5861306532663317,,000001,000000,45.3029648241206,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,480.8070866141732,000001,000000,,225.3663604549431,000001,000000,,,000001,000000,,,000001,000000,,0.4687251222563402,000001,000000,
2018,4,CE4_Bio_GB_2018_8-A,GB,000001,000000,,1403.4,000001,000000,,668.5333333333333,000001,000000,,1.0,000001,000000,,,-24.323012900000002,,000001,000000,4.47923984891407,,000001,000000,44.41429650613787,,000001,000000,,"(Assurance) Previous val: -26.460700799999998, reason: C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",000001,000000,,"(Assurance) Previous val: 0.5070163004961021, reason: C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",000001,000000,,"(Assurance) Previous val: 45.75122844318451, reason: C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,575.5413385826772,000001,000000,,274.1688538932633,000001,000000,,,000001,000000,,,000001,000000,,0.4763669184361787,000001,000000,
2018,5,CE5_Bio_GB_2018_9-A,GB,000001,000000,,1233.4,000001,000000,,645.5333333333333,000001,000000,,1.0,000001,000000,,,-23.6901961,,000001,000000,4.358014605203104,,000001,000000,44.44388863532634,,000001,000000,-26.482449999999993,,000001,000000,0.6595778820044434,,000001,000000,44.71415699827203,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,505.82349081364833,000001,000000,,264.73643919510056,000001,000000,,,000001,000000,,,000001,000000,,0.5233771147505539,000001,000000,
2018,6,CE6_Bio_GB_2018_10-A,GB,000001,000000,,1175.4,000001,000000,,613.5333333333333,000001,000000,,1.0,000001,000000,,,-23.624448900000004,,000001,000000,4.288412836079792,,000001,000000,44.411379011274924,,000001,000000,-28.348110399999996,,000001,000000,0.5580026281208935,,000001,000000,46.10985545335085,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,482.03740157480314,000001,000000,,251.6130796150481,000001,000000,,,000001,000000,,,000001,000000,,0.5219783336169247,000001,000000,
2018,7,CE7_Bio_GB_2018_11-A,GB,000001,000000,,1181.4,000001,000000,,586.5333333333333,000001,000000,,1.0,000001,000000,,,-23.6162305,,000001,000000,4.622669376693767,,000001,000000,44.70457091237579,,000001,000000,-26.954213799999998,,000001,000000,0.6025130146710838,,000001,000000,45.39151680075722,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,484.498031496063,000001,000000,,240.5402449693788,000001,000000,,,000001,000000,,,000001,000000,,0.4964731109982506,000001,000000,
2018,8,CE8_Bio_GB_2018_12-A,GB,000001,000000,,1149.4,000001,000000,,569.5333333333333,000001,000000,,1.0,000001,000000,,,-23.8350454,,000001,000000,4.254847309743093,,000001,000000,44.42287930198739,,000001,000000,-26.666089599999992,,000001,000000,0.5849012746813296,,000001,000000,44.37504373906523,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,471.3746719160105,000001,000000,,233.56846019247592,000001,000000,,,000001,000000,,,000001,000000,,0.4955049011078243,000001,000000,
2018,9,CE9_Bio_GB_2018_13-A,GB,000001,000000,,1237.4,000001,000000,,661.5333333333333,000001,000000,,1.0,000001,000000,,,-23.288527800000004,,000001,000000,4.0690541781450875,,000001,000000,44.17332415059688,,000001,000000,-25.414448,,000001,000000,0.5007624493685967,,000001,000000,46.02742435072671,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,507.46391076115486,000001,000000,,271.29811898512685,000001,000000,,,000001,000000,,,000001,000000,,0.5346155918323365,000001,000000,
2018,10,CE10_Bio_GB_2018_14-A,GB,000001,000000,,995.4,000001,000000,,469.53333333333336,000001,000000,,1.0,000001,000000,,,-23.278248800000007,,000001,000000,4.371219302024988,,000001,000000,44.438259370960786,,000001,000000,-26.481123200000006,,000001,000000,0.5970530451866405,,000001,000000,46.818246561886056,,000001,000000,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,408.2185039370078,000001,000000,,192.5579615048119,000001,000000,,,000001,000000,,,000001,000000,,0.47170316790569966,000001,000000,
