HarvestYear,ID2,SampleId,Crop,Crop_qcApplied,Crop_qcResult,Crop_qcPhrase,BiomassDry,BiomassDry_qcApplied,BiomassDry_qcResult,BiomassDry_qcPhrase,GrainMassDry,GrainMassDry_qcApplied,GrainMassDry_qcResult,GrainMassDry_qcPhrase,GrainTestWeight,GrainTestWeight_qcApplied,GrainTestWeight_qcResult,GrainTestWeight_qcPhrase,CropExists,CropExists_qcApplied,CropExists_qcResult,CropExists_qcPhrase,Comments,GrainProtein,GrainProtein_qcApplied,GrainProtein_qcResult,GrainProtein_qcPhrase,GrainMoisture,GrainMoisture_qcApplied,GrainMoisture_qcResult,GrainMoisture_qcPhrase,GrainStarch,GrainStarch_qcApplied,GrainStarch_qcResult,GrainStarch_qcPhrase,GrainGluten,GrainGluten_qcApplied,GrainGluten_qcResult,GrainGluten_qcPhrase,Graind13C,Graind13C_qcApplied,Graind13C_qcResult,Graind13C_qcPhrase,GrainNitrogen,GrainNitrogen_qcApplied,GrainNitrogen_qcResult,GrainNitrogen_qcPhrase,GrainCarbon,GrainCarbon_qcApplied,GrainCarbon_qcResult,GrainCarbon_qcPhrase,Residued13C,Residued13C_qcApplied,Residued13C_qcResult,Residued13C_qcPhrase,ResidueNitrogen,ResidueNitrogen_qcApplied,ResidueNitrogen_qcResult,ResidueNitrogen_qcPhrase,ResidueCarbon,ResidueCarbon_qcApplied,ResidueCarbon_qcResult,ResidueCarbon_qcPhrase,GrainMass0,GrainMass0_qcApplied,GrainMass0_qcResult,GrainMass0_qcPhrase,GrainMass125,GrainMass125_qcApplied,GrainMass125_qcResult,GrainMass125_qcPhrase,BiomassDryPerArea,BiomassDryPerArea_qcApplied,BiomassDryPerArea_qcResult,BiomassDryPerArea_qcPhrase,GrainYieldDryPerArea,GrainYieldDryPerArea_qcApplied,GrainYieldDryPerArea_qcResult,GrainYieldDryPerArea_qcPhrase,GrainMass0PerArea,GrainMass0PerArea_qcApplied,GrainMass0PerArea_qcResult,GrainMass0PerArea_qcPhrase,GrainMass125PerArea,GrainMass125PerArea_qcApplied,GrainMass125PerArea_qcResult,GrainMass125PerArea_qcPhrase,HarvestIndex,HarvestIndex_qcApplied,HarvestIndex_qcResult,HarvestIndex_qcPhrase
2019,1,CE1_GP_2019_WW_Bio,WW,000001,000000,,2507.0,000001,000000,,1412.0,000001,000000,,58.09199999999999,000011,000000,,1,000001,000000,,,10.0383,000011,000000,,8.7304,000011,000000,,73.4086,000011,000000,,24.9503,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1288.726752,000001,000000,,1449.817596,000001,000000,,1028.1332020997374,000001,000000,,579.0682414698163,000001,000000,,528.5132677165354,000001,000000,,594.5774261811024,000001,000000,,0.5632229756681293,000011,000000,
2019,2,CE2_GP_2019_WW_Bio,WW,000001,000000,,3180.0,000001,000000,,1552.0,000001,000000,,55.765499999999996,000011,000000,,1,000001,000000,,,11.1738,000011,000000,,7.7483,000011,000000,,71.2472,000011,000000,,26.757,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1431.746384,000001,000000,,1610.714682,000001,000000,,1304.1338582677165,000001,000000,,636.4829396325459,000001,000000,,587.1663320209974,000001,000000,,660.5621235236221,000001,000000,,0.4880503144654088,000011,000000,
2019,3,CE3_GP_2019_WW_Bio,WW,000001,000000,,2836.0,000001,000000,,1670.0,000001,000000,,59.361,000011,000000,,1,000001,000000,,,9.7726,000011,000000,,8.5273,000011,000000,,74.8479,000011,000000,,24.5374,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1527.59409,000001,000000,,1718.5433512500001,000001,000000,,1163.0577427821522,000001,000000,,684.8753280839894,000001,000000,,626.4739542322834,000001,000000,,704.7831985113189,000001,000000,,0.5888575458392101,000011,000000,
2019,4,CE4_GP_2019_WW_Bio,WW,000001,000000,,2765.0,000001,000000,,1506.0,000001,000000,,58.585499999999996,000011,000000,,1,000001,000000,,,10.3576,000011,000000,,7.9433,000011,000000,,74.2417,000011,000000,,25.4262,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1386.373902,000001,000000,,1559.67063975,000001,000000,,1133.9402887139106,000001,000000,,617.6181102362204,000001,000000,,568.5588508858268,000001,000000,,639.6287072465551,000001,000000,,0.5446654611211573,000011,000000,
2019,5,CE5_GP_2019_WW_Bio,WW,000001,000000,,2856.0,000001,000000,,1627.0,000001,000000,,58.373999999999995,000011,000000,,1,000001,000000,,,10.4208,000011,000000,,8.3665,000011,000000,,71.8227,000011,000000,,25.1844,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1490.877045,000001,000000,,1677.2366756249999,000001,000000,,1171.259842519685,000001,000000,,667.240813648294,000001,000000,,611.4161109744094,000001,000000,,687.8431248462106,000001,000000,,0.5696778711484595,000011,000000,
2019,6,CE6_GP_2019_WW_Bio,WW,000001,000000,,2743.0,000001,000000,,1596.0,000001,000000,,58.585499999999996,000011,000000,,1,000001,000000,,,10.3931,000011,000000,,8.5576,000011,000000,,72.0796,000011,000000,,25.9084,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1459.420704,000001,000000,,1641.848292,000001,000000,,1124.9179790026246,000001,000000,,654.5275590551181,000001,000000,,598.5157086614172,000001,000000,,673.3301722440945,000001,000000,,0.5818446955887714,000011,000000,
2019,7,CE7_GP_2019_WW_Bio,WW,000001,000000,,3303.0,000001,000000,,1922.0,000001,000000,,58.86749999999999,000011,000000,,1,000001,000000,,,10.4551,000011,000000,,8.2421,000011,000000,,72.4922,000011,000000,,26.1938,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1763.586838,000001,000000,,1984.0351927499999,000001,000000,,1354.5767716535433,000001,000000,,788.2217847769028,000001,000000,,723.2557570538057,000001,000000,,813.6627266855314,000001,000000,,0.581895246745383,000011,000000,
2019,8,CE8_GP_2019_WW_Bio,WW,000001,000000,,2552.0,000001,000000,,1459.0,000001,000000,,59.43149999999999,000011,000000,,1,000001,000000,,,9.8769,000011,000000,,8.8656,000011,000000,,73.4846,000011,000000,,24.7135,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1329.650896,000001,000000,,1495.857258,000001,000000,,1046.5879265091862,000001,000000,,598.3431758530184,000001,000000,,545.2964632545932,000001,000000,,613.4585211614173,000001,000000,,0.5717084639498433,000011,000000,
2019,9,CE9_GP_2019_WW_Bio,WW,000001,000000,,3101.0,000001,000000,,1739.0,000001,000000,,58.585499999999996,000011,000000,,1,000001,000000,,,10.9043,000011,000000,,8.5159,000011,000000,,72.4882,000011,000000,,28.197,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1590.9084990000001,000001,000000,,1789.7720613750002,000001,000000,,1271.7355643044618,000001,000000,,713.1725721784777,000001,000000,,652.4395091043307,000001,000000,,733.9944477423721,000001,000000,,0.5607868429538859,000011,000000,
2019,10,CE10_GP_2019_WW_Bio,WW,000001,000000,,2577.0,000001,000000,,1337.0,000001,000000,,58.233,000011,000000,,1,000001,000000,,,10.026,000011,000000,,8.5524,000011,000000,,74.4664,000011,000000,,24.8774,000011,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,,1222.654412,000001,000000,,1375.4862135,000001,000000,,1056.8405511811022,000001,000000,,548.3103674540682,000001,000000,,501.41667158792654,000001,000000,,564.0937555364173,000001,000000,,0.5188203337213815,000011,000000,
