Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2019-08-27 08:56:25,WH110907,CW456GP2019WWGr,1742,,ARS,5,5,9.3361,0000,9.5889,0000,73.3329,0000,23.8370,0000
12417169,2019-08-27 09:00:17,WH110907,CW458GP2019WWGr,1742,,ARS,5,5,10.0557,0000,9.6622,0000,73.3414,0000,26.0345,0000
12417169,2019-08-27 09:01:30,WH110907,CW459GP2019WWGr,1742,,ARS,5,5,9.7435,0000,9.1433,0000,73.2532,0000,24.4954,0000
12417169,2019-08-27 09:02:25,WH110907,CW454GP2019WWGr,1742,,ARS,5,5,9.4900,0000,9.4347,0000,72.9016,0000,24.1322,0000
12417169,2019-08-27 09:04:06,WH110907,CW453GP2019WWGr,1742,,ARS,5,5,12.9443,0000,9.5463,0000,67.3743,0000,33.7592,0000
12417169,2019-08-27 09:05:09,WH110907,CW450GP2019WWGr,1742,,ARS,5,5,8.1003,0000,10.3371,0000,73.9418,0000,20.5947,0000
12417169,2019-08-27 09:06:30,WH110907,CW457GP2019WWGr,1742,,ARS,5,5,10.0678,0000,9.4407,0000,72.4144,0000,26.2909,0000
12417169,2019-08-27 09:08:28,WH110907,CW451GP2019WWGr,1742,,ARS,5,5,10.1344,0000,10.2588,0000,72.9583,0000,26.3960,0000
12417169,2019-08-27 09:09:38,WH110907,CW452GP2019WWGr,1742,,ARS,5,5,10.5623,0000,9.5675,0000,71.3273,0000,27.8684,0000
12417169,2019-08-27 09:11:02,WH110907,CW455GP2019WWGr,1742,,ARS,5,5,9.9524,0000,9.4057,0000,73.0585,0000,26.0173,0000
12417169,2019-08-27 09:13:26,WH110907,CW448GP2019WWGr,1741,,ARS,5,5,6.7810,0002,10.6706,0000,71.3465,0030,19.3437,0000
12417169,2019-08-27 09:16:50,WH110907,CW449GP2019WWGr,1741,,ARS,5,5,9.1390,0000,9.9180,0000,71.4053,0020,23.9125,0000
12417169,2019-08-27 09:19:42,WH110907,CW445GP2019WWGr,1741,,ARS,5,5,11.1696,0000,9.8596,0000,70.1296,0000,29.0844,0000
12417169,2019-08-27 09:20:40,WH110907,CW444GP2019WWGr,1741,,ARS,5,5,9.4342,0000,10.1149,0000,71.7830,0000,24.2949,0000
12417169,2019-08-27 09:21:35,WH110907,CW439GP2019WWGr,1741,,ARS,5,5,8.4857,0000,10.7257,0000,72.9423,0000,21.5530,0000
12417169,2019-08-27 09:22:42,WH110907,CW438GP2019WWGr,1741,,ARS,5,5,7.4110,0001,10.6374,0000,74.0355,0000,19.0894,0000
12417169,2019-08-27 09:23:38,WH110907,CW441GP2019WWGr,1741,,ARS,5,5,9.8791,0000,9.7472,0000,73.2601,0000,26.2596,0000
12417169,2019-08-27 09:24:39,WH110907,CW440GP2019WWGr,1741,,ARS,5,5,11.1314,0000,11.0814,0000,71.3748,0000,29.8419,0000
12417169,2019-08-27 09:25:45,WH110907,CW447GP2019WWGr,1741,,ARS,5,5,8.9934,0000,10.3664,0000,73.3347,0000,22.8917,0000
12417169,2019-08-27 09:28:31,WH110907,CW446GP2019WWGr,1741,,ARS,5,5,9.7140,0000,10.1174,0000,73.3356,0000,24.9728,0000
12417169,2019-08-27 09:29:22,WH110907,CW443GP2019WWGr,1741,,ARS,5,5,10.3027,0000,9.7835,0000,71.8981,0000,27.0487,0000
